Date,Value,Projected,ProjectedWSJ,InverseAll,Inverse,ETF,STOCK,GoogleSearch
8/22/2016,24,24,24,1.000,1.000,50.00000,50.00000,1
8/29/2016,25,25,25,1.000,1.000,50.00000,50.00000,1
9/5/2016,26,26,26,1.000,1.000,50.00000,50.00000,1
9/12/2016,27,27,27,1.000,1.000,50.00000,50.00000,1
9/19/2016,26.1,26.1,26.1,1.000,1.000,50.00000,50.00000,1
9/26/2016,26.3,26.3,26.3,1.000,1.000,50.00000,50.00000,1
10/3/2016,26.81,26.81,26.81,1.000,1.000,50.00000,50.00000,1
10/10/2016,26.91,26.91,26.91,1.000,1.000,50.00000,50.00000,1
10/17/2016,26.43,26.43,26.43,1.000,1.000,50.00000,50.00000,1
10/24/2016,26.64,26.64,26.64,1.000,1.000,50.00000,50.00000,1
10/31/2016,26.32,26.32,26.32,1.000,1.000,50.00000,50.00000,1
11/7/2016,25.82,25.82,25.82,1.000,1.000,50.00000,50.00000,1
11/8/2016,26.39,26.39,26.39,1.000,1.000,50.00000,50.00000,1
11/14/2016,26.8,26.8,26.8,1.000,1.000,50.00000,50.00000,1
11/15/2016,26.79,26.79,26.79,1.000,1.000,50.00000,50.00000,1
11/21/2016,27.01,27.01,27.01,1.000,1.000,50.00000,50.00000,1
11/22/2016,27.22,27.22,27.22,1.000,1.000,50.00000,50.00000,1
11/28/2016,27.4,27.4,27.4,1.000,1.000,50.00000,50.00000,1
11/29/2016,27.23,19.31,19.31,1.410,1.410,50.00000,50.00000,1
12/5/2016,27.1,19.32,19.32,1.403,1.403,50.00000,50.00000,1
12/6/2016,27.26,19.32,19.32,1.411,1.411,50.00000,50.00000,1
12/7/2016,27.36,19.32,19.32,1.416,1.416,50.00000,50.00000,1
12/8/2016,27.72,19.32,19.32,1.435,1.435,50.00000,50.00000,1
12/9/2016,27.78,19.32,19.32,1.438,1.438,50.00000,50.00000,1
12/12/2016,27.94,19.31,19.31,1.447,1.447,50.00000,50.00000,1
12/13/2016,27.91,19.31,19.31,1.445,1.445,50.00000,50.00000,1
12/14/2016,28.09,19.31,19.31,1.455,1.455,50.00000,50.00000,1
12/15/2016,27.86,19.33,19.33,1.441,1.441,50.00000,50.00000,1
12/16/2016,27.91,19.33,19.33,1.444,1.444,50.00000,50.00000,1
12/19/2016,27.92,19.31,19.31,1.446,1.446,50.00000,50.00000,1
12/20/2016,27.98,19.33,19.33,1.447,1.447,50.00000,50.00000,1
12/21/2016,28.08,19.35,19.35,1.451,1.451,50.00000,50.00000,1
12/22/2016,28.01,19.34,19.34,1.448,1.448,50.00000,50.00000,1
12/23/2016,27.96,19.34,19.34,1.446,1.446,50.00000,50.00000,1
12/26/2016,27.99,19.36,19.36,1.446,1.446,50.00000,50.00000,1
12/27/2016,27.99,19.52,19.52,1.434,1.434,50.00000,50.00000,1
12/28/2016,28.06,19.52,19.52,1.438,1.438,50.00000,50.00000,1
12/29/2016,27.82,19.52,19.52,1.425,1.425,50.00000,50.00000,1
12/30/2016,27.81,19.35,19.35,1.437,1.437,50.00000,50.00000,1
1/2/2017,27.68,19.37,19.37,1.429,1.429,50.00000,50.00000,1
1/3/2017,27.68,19.36,19.36,1.430,1.430,50.00000,50.00000,1
1/4/2017,27.92,19.36,19.36,1.442,1.442,50.00000,50.00000,1
1/5/2017,28.08,18.5,18.5,1.518,1.518,50.00000,50.00000,1
1/6/2017,28.06,18.48,18.48,1.518,1.518,50.00000,50.00000,1
1/9/2017,28.16,18.53,18.53,1.520,1.520,50.00000,50.00000,1
1/10/2017,28.06,18.53,18.53,1.514,1.514,50.00000,50.00000,1
1/11/2017,28.06,18.53,18.53,1.514,1.514,50.00000,50.00000,1
1/12/2017,28.14,18.53,18.53,1.519,1.519,50.00000,50.00000,1
1/13/2017,28.08,18.53,18.53,1.515,1.515,50.00000,50.00000,1
1/17/2017,28.13,18.54,18.54,1.517,1.517,50.00000,50.00000,1
1/18/2017,28.04,18.54,18.54,1.512,1.512,50.00000,50.00000,1
1/19/2017,28.15,18.54,18.54,1.518,1.518,50.00000,50.00000,1
1/20/2017,28.05,18.56,18.56,1.511,1.511,50.00000,50.00000,1
1/23/2017,28.15,18.56,18.56,1.517,1.517,50.00000,50.00000,1
1/24/2017,28.07,18.56,18.56,1.512,1.512,50.00000,50.00000,1
1/25/2017,28.26,18.58,18.58,1.521,1.521,50.00000,50.00000,1
1/26/2017,28.48,18.57,18.57,1.534,1.534,50.00000,50.00000,1
1/27/2017,28.46,18.56,18.56,1.533,1.533,50.00000,50.00000,1
1/30/2017,28.44,18.56,18.56,1.532,1.532,50.00000,50.00000,1
1/31/2017,28.27,18.56,18.56,1.523,1.523,50.00000,50.00000,1
2/1/2017,28.24,18.56,18.56,1.522,1.522,50.00000,50.00000,1
2/2/2017,28.25,18.56,18.56,1.522,1.522,50.00000,50.00000,1
2/3/2017,28.27,18.56,18.56,1.523,1.523,50.00000,50.00000,1
2/6/2017,28.47,18.66,18.66,1.526,1.526,50.00000,50.00000,1
2/7/2017,28.41,18.66,18.66,1.523,1.523,50.00000,50.00000,1
2/8/2017,28.42,18.66,18.66,1.523,1.523,50.00000,50.00000,1
2/9/2017,28.44,18.66,18.66,1.524,1.524,50.00000,50.00000,1
2/10/2017,28.6,18.69,18.69,1.530,1.530,50.00000,50.00000,1
2/13/2017,28.7,18.68,18.68,1.536,1.536,50.00000,50.00000,1
2/14/2017,28.96,18.67,18.67,1.551,1.551,50.00000,50.00000,1
